id,levels,terms
1043,positive,joy
1044,positive,joyful
1045,positive,joyfully
1046,positive,joyous
1047,positive,joyously
1048,positive,jubilant
1049,positive,jubilantly
1050,positive,jubilate
1051,positive,jubilation
1052,positive,jubiliant
1053,positive,judicious
1054,positive,justly
1055,positive,keen
1056,positive,keenly
1057,positive,keenness
1058,positive,kid-friendly
1059,positive,kindliness
1060,positive,kindly
1061,positive,kindness
1062,positive,knowledgeable
1063,positive,kudos
1064,positive,large-capacity
1065,positive,laud
1066,positive,laudable
1067,positive,laudably
1068,positive,lavish
1069,positive,lavishly
1070,positive,law-abiding
1071,positive,lawful
1072,positive,lawfully
1073,positive,lead
1074,positive,leading
1075,positive,leads
1076,positive,lean
1077,positive,led
1078,positive,legendary
1079,positive,leverage
1080,positive,levity
1081,positive,liberate
1082,positive,liberation
1083,positive,liberty
1084,positive,lifesaver
1085,positive,light-hearted
1086,positive,lighter
1087,positive,likable
1088,positive,like
1089,positive,liked
1090,positive,likes
1091,positive,liking
1092,positive,lionhearted
1093,positive,lively
1094,positive,logical
1095,positive,long-lasting
1096,positive,lovable
1097,positive,lovably
1098,positive,love
1099,positive,loved
1100,positive,loveliness
1101,positive,lovely
1102,positive,lover
1103,positive,loves
1104,positive,loving
1105,positive,low-cost
1106,positive,low-price
1107,positive,low-priced
1108,positive,low-risk
1109,positive,lower-priced
1110,positive,loyal
1111,positive,loyalty
1112,positive,lucid
1113,positive,lucidly
1114,positive,luck
1115,positive,luckier
1116,positive,luckiest
1117,positive,luckiness
1118,positive,lucky
1119,positive,lucrative
1120,positive,luminous
1121,positive,lush
1122,positive,luster
1123,positive,lustrous
1124,positive,luxuriant
1125,positive,luxuriate
1126,positive,luxurious
1127,positive,luxuriously
1128,positive,luxury
1129,positive,lyrical
1130,positive,magic
1131,positive,magical
1132,positive,magnanimous
1133,positive,magnanimously
1134,positive,magnificence
1135,positive,magnificent
1136,positive,magnificently
1137,positive,majestic
1138,positive,majesty
1139,positive,manageable
1140,positive,maneuverable
1141,positive,marvel
1142,positive,marveled
1143,positive,marvelled
1144,positive,marvellous
1145,positive,marvelous
1146,positive,marvelously
1147,positive,marvelousness
1148,positive,marvels
1149,positive,master
1150,positive,masterful
1151,positive,masterfully
1152,positive,masterpiece
1153,positive,masterpieces
1154,positive,masters
1155,positive,mastery
1156,positive,matchless
1157,positive,mature
1158,positive,maturely
1159,positive,maturity
1160,positive,meaningful
1161,positive,memorable
1162,positive,merciful
1163,positive,mercifully
1164,positive,mercy
1165,positive,merit
1166,positive,meritorious
1167,positive,merrily
1168,positive,merriment
1169,positive,merriness
1170,positive,merry
1171,positive,mesmerize
1172,positive,mesmerized
1173,positive,mesmerizes
1174,positive,mesmerizing
1175,positive,mesmerizingly
1176,positive,meticulous
1177,positive,meticulously
1178,positive,mightily
1179,positive,mighty
1180,positive,mind-blowing
1181,positive,miracle
1182,positive,miracles
1183,positive,miraculous
1184,positive,miraculously
1185,positive,miraculousness
1186,positive,modern
1187,positive,modest
1188,positive,modesty
1189,positive,momentous
1190,positive,monumental
1191,positive,monumentally
1192,positive,morality
1193,positive,motivated
1194,positive,multi-purpose
1195,positive,navigable
1196,positive,neat
1197,positive,neatest
1198,positive,neatly
1199,positive,nice
1200,positive,nicely
1201,positive,nicer
1202,positive,nicest
1203,positive,nifty
1204,positive,nimble
1205,positive,noble
1206,positive,nobly
1207,positive,noiseless
1208,positive,non-violence
1209,positive,non-violent
1210,positive,notably
1211,positive,noteworthy
1212,positive,nourish
1213,positive,nourishing
1214,positive,nourishment
1215,positive,novelty
1216,positive,nurturing
1217,positive,oasis
1218,positive,obsession
1219,positive,obsessions
1220,positive,obtainable
1221,positive,openly
1222,positive,openness
1223,positive,optimal
1224,positive,optimism
1225,positive,optimistic
1226,positive,opulent
1227,positive,orderly
1228,positive,originality
1229,positive,outdo
1230,positive,outdone
1231,positive,outperform
1232,positive,outperformed
1233,positive,outperforming
1234,positive,outperforms
1235,positive,outshine
1236,positive,outshone
1237,positive,outsmart
1238,positive,outstanding
1239,positive,outstandingly
1240,positive,outstrip
1241,positive,outwit
1242,positive,ovation
1243,positive,overjoyed
1244,positive,overtake
1245,positive,overtaken
1246,positive,overtakes
1247,positive,overtaking
1248,positive,overtook
1249,positive,overture
1250,positive,pain-free
1251,positive,painless
1252,positive,painlessly
1253,positive,palatial
1254,positive,pamper
1255,positive,pampered
1256,positive,pamperedly
1257,positive,pamperedness
1258,positive,pampers
1259,positive,panoramic
1260,positive,paradise
1261,positive,paramount
1262,positive,pardon
1263,positive,passion
1264,positive,passionate
1265,positive,passionately
1266,positive,patience
1267,positive,patient
1268,positive,patiently
1269,positive,patriot
1270,positive,patriotic
1271,positive,peace
1272,positive,peaceable
1273,positive,peaceful
1274,positive,peacefully
1275,positive,peacekeepers
1276,positive,peach
1277,positive,peerless
1278,positive,pep
1279,positive,pepped
1280,positive,pepping
1281,positive,peppy
1282,positive,peps
1283,positive,perfect
1284,positive,perfection
1285,positive,perfectly
1286,positive,permissible
1287,positive,perseverance
1288,positive,persevere
1289,positive,personages
1290,positive,personalized
1291,positive,phenomenal
1292,positive,phenomenally
1293,positive,picturesque
1294,positive,piety
1295,positive,pinnacle
1296,positive,playful
1297,positive,playfully
1298,positive,pleasant
1299,positive,pleasantly
1300,positive,pleased
1301,positive,pleases
1302,positive,pleasing
1303,positive,pleasingly
1304,positive,pleasurable
1305,positive,pleasurably
1306,positive,pleasure
1307,positive,plentiful
1308,positive,pluses
1309,positive,plush
1310,positive,plusses
1311,positive,poetic
1312,positive,poeticize
1313,positive,poignant
1314,positive,poise
1315,positive,poised
1316,positive,polished
1317,positive,polite
1318,positive,politeness
1319,positive,popular
1320,positive,portable
1321,positive,posh
1322,positive,positive
1323,positive,positively
1324,positive,positives
1325,positive,powerful
1326,positive,powerfully
1327,positive,praise
1328,positive,praiseworthy
1329,positive,praising
1330,positive,pre-eminent
1331,positive,precious
1332,positive,precise
1333,positive,precisely
1334,positive,preeminent
1335,positive,prefer
1336,positive,preferable
1337,positive,preferably
1338,positive,prefered
1339,positive,preferes
1340,positive,preferring
1341,positive,prefers
1342,positive,premier
1343,positive,prestige
1344,positive,prestigious
1345,positive,prettily
1346,positive,pretty
1347,positive,priceless
1348,positive,pride
1349,positive,principled
1350,positive,privilege
1351,positive,privileged
1352,positive,prize
1353,positive,proactive
1354,positive,problem-free
1355,positive,problem-solver
1356,positive,prodigious
1357,positive,prodigiously
1358,positive,prodigy
1359,positive,productive
1360,positive,productively
1361,positive,proficient
1362,positive,proficiently
1363,positive,profound
1364,positive,profoundly
1365,positive,profuse
1366,positive,profusion
1367,positive,progress
1368,positive,progressive
1369,positive,prolific
1370,positive,prominence
1371,positive,prominent
1372,positive,promise
1373,positive,promised
1374,positive,promises
1375,positive,promising
1376,positive,promoter
1377,positive,prompt
1378,positive,promptly
1379,positive,proper
1380,positive,properly
1381,positive,propitious
1382,positive,propitiously
1383,positive,pros
1384,positive,prosper
1385,positive,prosperity
1386,positive,prosperous
1387,positive,prospros
1388,positive,protect
1389,positive,protection
1390,positive,protective
1391,positive,proud
1392,positive,proven
1393,positive,proves
1394,positive,providence
1395,positive,proving
1396,positive,prowess
1397,positive,prudence
1398,positive,prudent
1399,positive,prudently
1400,positive,punctual
1401,positive,pure
1402,positive,purify
1403,positive,purposeful
1404,positive,quaint
1405,positive,qualified
1406,positive,qualify
1407,positive,quicker
1408,positive,quiet
1409,positive,quieter
1410,positive,radiance
1411,positive,radiant
1412,positive,rapid
1413,positive,rapport
1414,positive,rapt
1415,positive,rapture
1416,positive,raptureous
1417,positive,raptureously
1418,positive,rapturous
1419,positive,rapturously
1420,positive,rational
1421,positive,razor-sharp
1422,positive,reachable
1423,positive,readable
1424,positive,readily
1425,positive,ready
1426,positive,reaffirm
1427,positive,reaffirmation
1428,positive,realistic
1429,positive,realizable
1430,positive,reasonable
1431,positive,reasonably
1432,positive,reasoned
1433,positive,reassurance
1434,positive,reassure
1435,positive,receptive
1436,positive,reclaim
1437,positive,recomend
1438,positive,recommend
1439,positive,recommendation
1440,positive,recommendations
1441,positive,recommended
1442,positive,reconcile
1443,positive,reconciliation
1444,positive,record-setting
1445,positive,recover
1446,positive,recovery
1447,positive,rectification
1448,positive,rectify
1449,positive,rectifying
1450,positive,redeem
1451,positive,redeeming
1452,positive,redemption
